cell_id:cell_id,region:region,tile_num:tile_num,x:x,y:y,z:z,x_tile:x_tile,y_tile:y_tile,size:size,cyc001_ch001:DAPI1,cyc001_ch002:Blank,cyc001_ch003:Blank,cyc001_ch004:Blank,cyc002_ch001:DAPI2,cyc002_ch002:CD15,cyc002_ch003:Ki67,cyc002_ch004:CD45,cyc003_ch001:DAPI3,cyc003_ch002:CD8,cyc003_ch003:CD44,cyc003_ch004:CD68,cyc004_ch001:DAPI4,cyc004_ch002:Pancytokeratin,cyc004_ch003:CD4,cyc004_ch004:IDO1,cyc005_ch001:DAPI5,cyc005_ch002:Actin,cyc005_ch003:CD21,cyc005_ch004:CD11c,cyc006_ch001:DAPI6,cyc006_ch002:CD20,cyc006_ch003:CD57,cyc006_ch004:CD14,cyc007_ch001:DAPI7,cyc007_ch002:Vimentin,cyc007_ch003:CD3e,cyc007_ch004:SMA,cyc008_ch001:DAPI8,cyc008_ch002:Blank,cyc008_ch003:Blank,cyc008_ch004:Blank,homogeneity:homogeneity
72993,1,6,6447,1556,0,1071,548,347,30795.63112391931,132.38040345821327,4605.35734870317,650.8530259365995,23789.743515850143,101.27089337175792,1360.3631123919308,4943.6484149855905,24243.44380403458,43.945244956772335,13149.63976945245,3925.014409221902,24754.22478386167,86.68011527377521,4303.507204610951,1746.6628242074928,30837.94812680115,3491.230547550432,7283.778097982709,662.2305475504322,30822.968299711814,9468.178674351586,1221.8299711815562,1576.899135446686,31660.743515850143,1207.9740634005764,1585.5158501440922,145.63112391930835,33260.43804034582,172.51296829971182,2814.4668587896253,607.8040345821325,3.4931167061841975
19306,1,2,2047,754,0,703,754,376,21233.35106382979,124.60106382978724,2582.404255319149,448.7686170212766,16123.61170212766,52.43617021276596,845.7420212765958,4987.06914893617,17056.42021276596,801.906914893617,7708.212765957447,1599.5159574468084,15715.686170212766,36.19946808510638,2776.300531914894,3456.505319148936,22797.02925531915,965.0824468085108,1246.1090425531916,423.7260638297872,17719.933510638297,110.23936170212764,820.3696808510638,497.6223404255319,18775.51595744681,1461.2446808510638,5554.622340425532,144.2712765957447,23293.33510638298,138.59574468085106,1463.8829787234042,387.4867021276595,3.41954388790438
77026,1,16,5396,3917,0,20,893,203,24698.72906403941,134.27586206896552,2931.8029556650245,478.98522167487687,15379.137931034482,62.793103448275865,1436.0098522167489,3752.822660098522,17640.083743842366,47.576354679802954,8868.975369458129,1774.871921182266,15746.926108374384,60.29064039408867,529.1182266009852,1368.6995073891626,27193.320197044333,950.6945812807882,16947.92118226601,540.5665024630542,24407.783251231525,6521.339901477832,1051.615763546798,1200.9556650246304,27007.39901477833,1445.1379310344828,273.99014778325125,204.84729064039408,29464.064039408862,148.40886699507388,1680.3103448275865,425.1034482758621,3.38780457566585
6724,1,11,47,2133,0,47,117,362,17008.693370165747,133.64088397790056,2685.524861878453,480.7486187845304,11587.613259668507,59.94198895027624,1072.4834254143643,5095.848066298343,13123.544198895028,324.10497237569064,9606.966850828729,1130.146408839779,11080.693370165744,37.03591160220994,1871.292817679558,1054.10773480663,17114.480662983424,1264.5635359116022,16908.306629834253,1184.0939226519338,12480.64364640884,8730.378453038675,865.8729281767955,1225.1685082872928,14989.10773480663,485.92541436464086,1025.0801104972377,96.30386740331492,18272.232044198896,148.47513812154696,1578,417.3121546961326,3.6663957404914616
11986,1,20,585,3835,0,585,811,148,17311.52027027027,122.18243243243244,2561.891891891892,480.7635135135135,11895.70945945946,37.28378378378378,806.7432432432432,1899.918918918919,13279.594594594597,35.87837837837838,5286,1067.358108108108,11237.195945945949,63.729729729729726,885.2567567567568,877.9324324324324,19283.067567567567,1099.5472972972973,2546.8175675675675,829.3851351351351,13479.378378378378,3871.027027027027,986.9391891891892,661.6756756756756,14640.621621621622,2417.9932432432433,443.2567567567568,807.527027027027,17397.12162162162,152.71621621621622,1651.8445945945946,462.5675675675675,3.4172139657965617
70814,1,6,5544,1875,0,168,867,400,24556.1925,139.5125,2595.17,475.9325,14560.26,69.445,812.075,3292.3375,16292.415,40.295,5986.7275,2184.4,14682.7475,49.0825,975.0575,1559.2925,26922.6125,527.0375,4369.4775,461.6225,23569.2575,5645.96,784.3625,575.4075,25874.7225,5790.4275,312.9375,193.775,29156.3475,150.5575,1664.125,403.51,3.2939139841188667
22944,1,9,2309,1550,0,965,542,142,22237.070422535213,144.22535211267606,1744.5492957746478,369.98591549295776,18065.978873239437,41.140845070422536,989.1197183098592,5476.866197183099,19374.11267605634,471.0422535211268,19610.8661971831,942.9154929577464,17080.485915492958,44.61971830985915,8282.176056338029,849.8028169014085,24576.161971830985,824.5070422535211,1359.5,429.6126760563381,20891.429577464787,79.29577464788733,950.7887323943662,536.3802816901408,21333.98591549296,220.3943661971831,6590.957746478874,106.11267605633805,25989.894366197183,152.94366197183098,1192.1830985915492,314.78169014084506,3.4154822692300058
78689,1,16,6113,3934,0,737,910,403,23579.93548387097,141.8411910669975,2388.6104218362284,421.6352357320099,13607.049627791564,71.37965260545906,1100.2332506203477,2903.637717121588,15509.238213399503,40.682382133995034,4184.2332506203475,1268.3573200992555,14316.4317617866,68.40446650124069,1267.044665012407,1189.7220843672458,26648.727047146403,629.2332506203473,4166.143920595534,438.2059553349876,22368.06947890819,5387.426799007444,857.3325062034739,526.483870967742,24771.00992555831,239.62779156327545,642.0024813895782,115.16873449131512,27603.816377171217,138.78163771712158,1384.2208436724566,386.9875930521091,3.192345662406861
21202,1,9,1540,1947,0,196,939,254,15693.279527559054,127.72834645669292,2346.6062992125985,424.8228346456693,11169.846456692914,60.169291338582674,377.96456692913387,3436.8937007874015,12164.8937007874,31.80708661417323,11600.267716535433,2803.1141732283463,10787.933070866142,33.37007874015748,5933.385826771653,8906.456692913385,16519.129921259842,1050.5826771653544,603.5157480314961,3548.3425196850394,13149.992125984252,37.74409448818898,97.46456692913384,417.4527559055118,13565.173228346455,1701.208661417323,139.36614173228347,51.3503937007874,17703.57874015748,110.38582677165354,442.248031496063,246.88976377952756,3.590235335457463
35750,1,3,3326,158,0,638,158,302,23155.460264900663,144.38079470198676,3242.208609271523,491.16887417218544,15249.60927152318,67.73509933774834,962.2880794701988,5972.950331125828,17257.798013245032,376.5629139072848,13699.682119205298,2484.3543046357618,14999.125827814569,40.11258278145695,2891.390728476821,3721.7384105960264,26022.026490066222,1948.711920529801,1617.9172185430464,2445.4867549668875,22193.3940397351,104.02980132450332,947.1291390728476,600.7483443708609,22674.453642384105,2399.3973509933776,5400.079470198675,180.3443708609271,27947.12251655629,159.87417218543047,1961.1887417218545,422.9370860927152,3.475253958332973
